sample_index,sample_id,episode_id,region,timestep_index,timestep,sigma,noise_seed,swapped_action_count,noop_count,noop_fraction,loss_correct,loss_wrong,delta
50,my_way_home_episode_0036_clip_000011,episode_0036,late,900,251,0.251872181892395,196,1,4,0.25,0.06842970103025436,0.06911414861679077,0.0006844475865364075
51,my_way_home_episode_0035_clip_000060,episode_0035,early,100,964,0.9643239974975586,197,14,2,0.125,0.11144533008337021,0.1364346742630005,0.02498934417963028
51,my_way_home_episode_0035_clip_000060,episode_0035,middle,500,750,0.7503747940063477,198,14,2,0.125,0.05666186287999153,0.08320712298154831,0.026545260101556778
51,my_way_home_episode_0035_clip_000060,episode_0035,late,900,251,0.251872181892395,199,14,2,0.125,0.11185024678707123,0.11995263397693634,0.008102387189865112
52,my_way_home_episode_0031_clip_000024,episode_0031,early,100,964,0.9643239974975586,200,16,0,0.0,0.14100679755210876,0.1434255689382553,0.0024187713861465454
52,my_way_home_episode_0031_clip_000024,episode_0031,middle,500,750,0.7503747940063477,201,16,0,0.0,0.10125724226236343,0.12532100081443787,0.024063758552074432
52,my_way_home_episode_0031_clip_000024,episode_0031,late,900,251,0.251872181892395,202,16,0,0.0,0.25508058071136475,0.2768175005912781,0.02173691987991333
53,my_way_home_episode_0028_clip_000015,episode_0028,early,100,964,0.9643239974975586,203,14,1,0.0625,0.10988940298557281,0.10845507681369781,-0.001434326171875
53,my_way_home_episode_0028_clip_000015,episode_0028,middle,500,750,0.7503747940063477,204,14,1,0.0625,0.1102948933839798,0.1026063859462738,-0.007688507437705994
53,my_way_home_episode_0028_clip_000015,episode_0028,late,900,251,0.251872181892395,205,14,1,0.0625,0.2585393190383911,0.255210816860199,-0.0033285021781921387
54,my_way_home_episode_0043_clip_000031,episode_0043,early,100,964,0.9643239974975586,206,16,0,0.0,0.2495955526828766,0.2606280744075775,0.011032521724700928
54,my_way_home_episode_0043_clip_000031,episode_0043,middle,500,750,0.7503747940063477,207,16,0,0.0,0.09554294496774673,0.13709278404712677,0.041549839079380035
54,my_way_home_episode_0043_clip_000031,episode_0043,late,900,251,0.251872181892395,208,16,0,0.0,0.1760801523923874,0.18962766230106354,0.013547509908676147
55,my_way_home_episode_0048_clip_000034,episode_0048,early,100,964,0.9643239974975586,209,6,0,0.0,0.22727979719638824,0.23527589440345764,0.007996097207069397
55,my_way_home_episode_0048_clip_000034,episode_0048,middle,500,750,0.7503747940063477,210,6,0,0.0,0.06328179687261581,0.08115651458501816,0.017874717712402344
55,my_way_home_episode_0048_clip_000034,episode_0048,late,900,251,0.251872181892395,211,6,0,0.0,0.12732712924480438,0.12949708104133606,0.0021699517965316772
56,my_way_home_episode_0039_clip_000059,episode_0039,early,100,964,0.9643239974975586,212,3,13,0.8125,0.16883398592472076,0.17823192477226257,0.009397938847541809
56,my_way_home_episode_0039_clip_000059,episode_0039,middle,500,750,0.7503747940063477,213,3,13,0.8125,0.029229575768113136,0.0303603857755661,0.0011308100074529648
